             RMPT357      RMPT267      RMPT177      RMPT087      RMPM002      RMPM272      RMPM182      RMPM092      RMPB357      RMPB267      RMPB177      RMPB087      
'FL33      ' -1.292e-08   -1.292e-08   -1.292e-08   -1.292e-08   -3.742e-08   -3.742e-08   -3.742e-08   -3.742e-08   1.695e-07    1.695e-07    1.695e-07    1.695e-07    
'FL34      ' -1.345e-08   -1.345e-08   -1.345e-08   -1.345e-08   -4.073e-08   -4.073e-08   -4.073e-08   -4.073e-08   1.747e-07    1.747e-07    1.747e-07    1.747e-07    
'FL35      ' -1.364e-08   -1.364e-08   -1.364e-08   -1.364e-08   -4.157e-08   -4.157e-08   -4.157e-08   -4.157e-08   1.811e-07    1.811e-07    1.811e-07    1.811e-07    
'FL36      ' -1.384e-08   -1.384e-08   -1.384e-08   -1.384e-08   -4.244e-08   -4.244e-08   -4.244e-08   -4.244e-08   1.829e-07    1.829e-07    1.829e-07    1.829e-07    
'FL37      ' -1.406e-08   -1.406e-08   -1.406e-08   -1.406e-08   -4.340e-08   -4.340e-08   -4.340e-08   -4.340e-08   1.850e-07    1.850e-07    1.850e-07    1.850e-07    
'FL38      ' -1.432e-08   -1.432e-08   -1.432e-08   -1.432e-08   -4.446e-08   -4.446e-08   -4.446e-08   -4.446e-08   1.873e-07    1.873e-07    1.873e-07    1.873e-07    
'FL39      ' -1.460e-08   -1.460e-08   -1.460e-08   -1.460e-08   -4.557e-08   -4.557e-08   -4.557e-08   -4.557e-08   1.897e-07    1.897e-07    1.897e-07    1.897e-07    
'FL40      ' -1.688e-08   -1.688e-08   -1.688e-08   -1.688e-08   -5.418e-08   -5.418e-08   -5.418e-08   -5.418e-08   2.093e-07    2.093e-07    2.093e-07    2.093e-07    
'FL41      ' -1.734e-08   -1.734e-08   -1.734e-08   -1.734e-08   -5.589e-08   -5.589e-08   -5.589e-08   -5.589e-08   2.131e-07    2.131e-07    2.131e-07    2.131e-07    
'FL42      ' -4.383e-08   -4.383e-08   -4.383e-08   -4.383e-08   2.609e-07    2.609e-07    2.609e-07    2.609e-07    -9.766e-09   -9.766e-09   -9.766e-09   -9.766e-09   
